,0,1
112,362.0,486.0
113,375.0,476.0
114,392.0,466.0
115,411.0,456.0
116,426.0,448.0
117,439.0,441.0
118,448.0,435.0
119,457.0,429.0
120,465.0,427.0
121,474.0,421.0
122,487.0,417.0
123,499.0,414.0
124,508.0,413.0
125,520.0,411.0
126,528.0,411.0
127,540.0,413.0
128,553.0,415.0
129,565.0,418.0
130,574.0,423.0
131,583.0,425.0
132,590.0,431.0
133,599.0,440.0
134,611.0,454.0
135,624.0,467.0
136,637.0,478.0
137,646.0,488.0
138,656.0,499.0
139,670.0,519.0
140,682.0,542.0
141,692.0,555.0
142,699.0,566.0
143,711.0,577.0
144,720.0,586.0
145,732.0,603.0
146,742.0,620.0
147,750.0,633.0
148,759.0,642.0
149,769.0,653.0
150,783.0,671.0
151,802.0,690.0
152,816.0,714.0
153,823.0,723.0
154,835.0,738.0
155,847.0,753.0
156,863.0,773.0
157,875.0,786.0
158,886.0,798.0
159,897.0,807.0
160,907.0,817.0
161,916.0,824.0
162,929.0,831.0
163,941.0,839.0
164,954.0,843.0
165,967.0,847.0
166,977.0,848.0
167,989.0,850.0
168,1005.0,850.0
169,1021.0,847.0
170,1036.0,844.0
171,1048.0,838.0
172,1061.0,830.0
173,1083.0,819.0
174,1106.0,807.0
175,1123.0,799.0
176,1140.0,787.0
177,1162.0,772.0
178,1190.0,755.0
179,1207.0,745.0
180,1222.0,736.0
181,1239.0,728.0
182,1265.0,708.0
183,1280.0,695.0
184,1296.0,677.0
185,1312.0,658.0
186,1331.0,633.0
187,1348.0,608.0
188,1356.0,590.0
189,1361.0,581.0
190,1365.0,576.0
191,1366.0,574.0
192,1366.0,574.0
193,882.0,159.0
194,869.0,107.0
195,839.0,32.0
196,825.0,9.0
197,785.0,-78.0
198,773.0,-24.0
199,740.0,-52.0
200,718.0,-30.0
201,708.0,-9.0
202,703.0,-5.0
203,701.0,-2.0
204,699.0,0.0
205,697.0,0.0
206,695.0,0.0
207,694.0,1.0
208,691.0,7.0
209,687.0,18.0
210,684.0,30.0
